Timestamp,What is your age group?,What gender do you identify with?,How would you describe your ethnicity?,Do you consider yourself to have a disability or long term health condition?,What is your sexual orientation?,Please indicate the following about your employment status:,What is your religious belief?,Where do you currently live?,Had you been to a sauna before you came to Community Sauna?,How did you hear about the Community Sauna?,How often do you visit our sauna?,Which of our sauna locations do you visit most often?,Have you experienced any physical health improvements from using the sauna?,Have you experienced any mental health improvements from using the sauna?,"How important is having regular access to sauna?

On a scale of 1 to 5, where 1 is low and 5 is high",What do you enjoy most about the community sauna?,Are you satisfied with the temperature at our saunas?,"If you’re not satisfied, could you please explain why",Are you satisfied with the amount of customers during the sessions?,"If you’re not satisfied, could you please explain why2",Do you feel a sense of belonging or community when using the sauna?,"How would you rate  the overall cleanliness and hygiene of the sauna facilities?

On a scale of 1 to 5, where 1 is low and 5 is high","How would you rate the staff’s friendliness and professionalism? 

On a scale of 1 to 5, where 1 is low and 5 is high","How would you rate the overall ambiance and atmosphere of the sauna?

On a scale of 1 to 5, where 1 is low and 5 is high","Are the sauna prices reasonable and in line with your expectations?

On a scale of 1 to 5, where 1 is low and 5 is high",What improvements or additions would you like to see in the sauna facilities or services?,"Do you know of any specific location where we could set up a community sauna? (e.g., a park, unused building, or local space)","What improvements would you suggest for the facilities, services, or events?",Are you familiar with our social prescribing offers and services?,"If yes, how did you hear about it?",Please share why community sauna is important to you?,In which area of London would you like us to set up a sauna?,What topics would you like to hear more about from us in our communications? (Select all that apply),Is there anything else you would like to share or comment on regarding your experiences at the community sauna in London?
45688.6896847338,25–34,Female,"White (e.g., British, Irish, other European background)",Yes,Heterosexual,Employed,Judaism,Central London,Once or twice,Word of mouth,Monthly,Stratford,Yes,Yes,3,"Helped with physical pain management, Improved mood, Helped me connect with the outdoors",Yes,,No,a bit too busy sometimes ,3,5,5,5,5,,,,Yes,Social Media,,Central London,"Sauna health benefits, Not-for-profit work",
45688.6899787616,18–24,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,South East London,Once or twice,Word of mouth,Rarely,Peckham,Not sure,Not sure,3,"Improved mood, Improved sense of belonging to the local community., Helped me connect with the outdoors",Yes,,Yes,,4,4,5,5,5,,,,Yes,Social Media,,South East London,,
45688.6903748843,35–44,Male,"Asian or Asian British (e.g., Indian, Pakistani, Bangladeshi, Chinese)",No,Heterosexual,Employed,Agnosticism,South East London,I was already a regular sauna user,Word of mouth,Weekly,Bermondsey,Not sure,Not sure,4,"Helped with physical pain management, Improved mood, Assists me with my mental health resilience",Sometimes,It can varies a lot session to session,Yes,,4,4,5,4,4,,,,No,,,North East London,"Behind the scenes, Upcoming events",
45688.6906941319,25–34,Non-binary,"Mixed or multiple ethnic groups (e.g., White and Black Caribbean, White and Asian)",No,Homosexual,Employed,Atheism,East London,Once or twice,Word of mouth,Rarely,Hackney Wick,Yes,Yes,4,"Improved mood, Assists me with my mental health resilience, Increased my body confidence",Yes,,Yes,,3,4,4,4,4,,,,Yes,Social Media,,Central London,"Sauna etiquette or best practices, Not-for-profit work",
45688.6911677778,45–54,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Judaism,North West London,Once or twice,Word of mouth,Monthly,Hackney Wick,Yes,Yes,3,"Improved mood, Improved sense of belonging to the local community., Improved my health, Helped me connect with the outdoors, I made new friends at the sauna",Yes,,Yes,,5,4,5,5,3,,,,No,,,North West London,"Sauna health benefits, Upcoming events",It’s absolutely brilliant- please come to Kentish Town!!
45688.6912307176,25–34,Female,"Mixed or multiple ethnic groups (e.g., White and Black Caribbean, White and Asian)",No,Heterosexual,Employed,Agnosticism,North London,Once or twice,Word of mouth,Monthly,Hackney Wick,Yes,Yes,5,"Improved mood, Improved my health, Helped me connect with the outdoors",Yes,,Yes,,5,5,5,5,3,Dry changing area,,,Yes,Charity Partner,"I love the sauna during winter, it helps with my SAD",North East London,Sauna health benefits,
45688.6912982407,25–34,Female,"White (e.g., British, Irish, other European background)",No,Bisexual/Pansexual,Employed,Spiritual but not Religious,North East London,I was already a regular sauna user,Word of mouth,Rarely,Hackney Wick,Yes,Yes,3,"Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Improved my health, Helped me connect with the outdoors",Yes,,Yes,,4,4,5,5,4,,,Hot showers! ,No,,It is a place to unwind within a community setting. ,North East London,"Sauna health benefits, Sauna etiquette or best practices, Upcoming events, Stories and testimonials from the community",
45688.6913019097,35–44,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,South East London,Once or twice,Word of mouth,Monthly,Peckham,Yes,Yes,3,"Improved mood, Improved sense of belonging to the local community., Helped me connect with the outdoors",Yes,,Yes,,5,4,5,5,5,,,,No,,,,,
45688.6913111343,25–34,Female,"White (e.g., British, Irish, other European background)",No,Bisexual/Pansexual,Employed,Atheism,East London,Once or twice,Word of mouth,Rarely,Hackney Wick,No,No,2,Improved mood,Yes,,Yes,,1,2,5,4,5,,,Cleaner cold plunges :) ,Yes,Social Media,I love the fact that it’s highly community oriented with highly reasonable prices for London. You can tell when you walk in thats it’s a very welcoming and open place. Access to these kind of spaces in London is crucial ,North East London,"Behind the scenes, Sauna etiquette or best practices, Not-for-profit work",
45688.6917036343,25–34,Female,"White (e.g., British, Irish, other European background)",Yes,Heterosexual,Employed,Spiritual but not Religious,East London,I was already a regular sauna user,Word of mouth,Monthly,Stratford,Yes,Yes,5,"Helped with physical pain management, Improved mood, Assists me with my mental health resilience, Helped me connect with the outdoors",Sometimes,Sometimes not hot enough!,Yes,,5,5,5,5,5,,,,No,,,,Upcoming events,
